#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18D20
#Date Time: 2020-09-17 16:15:27.334
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1.1 V/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 / 100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: RampUp
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 2 (V),Math 1 (A)
-0.00205575,-0.5439353898336048,-0.0005088669773937669
-0.002054499999999999,-0.5292886530000319,-0.000502230606112062
-0.00205325,-0.5183036003748611,-0.0004889578635486703
-0.002052,-0.5036568635412916,-0.000482321492266964
-0.00205075,-0.4999951793329013,-0.0004657305640627243
-0.0020495,-0.4816867582909417,-0.0004557760071401761
-0.00204825,-0.4597166530405999,-0.0004425032645767843
-0.002047,-0.456054968832198,-0.0004391850789359289
-0.00204575,-0.4487316004154174,-0.0004225941507316893
-0.0020445,-0.4377465477902382,-0.0004126395938091334
-0.002043249999999999,-0.4267614951650557,-0.0004026850368865791
-0.002042,-0.4121147583314946,-0.0003894122943231875
-0.00204075,-0.4047913899147107,-0.0003794577374006392
-0.0020395,-0.3901446530811429,-0.0003661849948372414
-0.00203825,-0.382821284664359,-0.0003529122522738437
-0.002037,-0.3681745478307978,-0.0003462758809921479
-0.00203575,-0.3571894952056153,-0.0003363213240695966
-0.0020345,-0.3425427583720542,-0.0003230485815062048
-0.00203325,-0.3352193899552636,-0.0003130940245836505
-0.002032,-0.3242343373300844,-0.0002998212820202498
-0.00203075,-0.3169109689133039,-0.000293184910738554
-0.0020295,-0.305925916288128,-0.0002832303538160057
-0.00202825,-0.2876174952461683,-0.0002732757968934574
-0.002027,-0.2839558110377763,-0.0002566848686892102
-0.00202575,-0.2656473899958249,-0.0002467303117666664
-0.0020245,-0.2546623373706408,-0.0002301393835624148
-0.002023249999999999,-0.2473389689538502,-0.0002201848266398589
-0.002022,-0.2326922321202891,-0.0002035938984356193
-0.00202075,-0.2217071794951082,-0.0001969575271539159
-0.0020195,-0.2107221268699374,-0.0001870029702313722
-0.00201825,-0.1997370742447615,-0.0001770484133088239
